2theta_deg,I
1.1169539032602719e-10,29644.025
1.1200396082434705e-10,29834.67
1.1231253132266693e-10,29635.975
1.1262110182098677e-10,29522.451
1.1292967231930667e-10,29450.988
1.132382428176265e-10,29349.709
1.1354681331594638e-10,29297.742
1.1385538381426622e-10,29178.219
1.1416395431258609e-10,29153.367
1.1447252481090595e-10,29134.623
1.1478109530922583e-10,29102.57
1.1508966580754572e-10,29015.691
1.1539823630586554e-10,29032.492
1.1570680680418543e-10,28924.197
1.1601537730250528e-10,28954.781
1.1632394780082514e-10,28945.934
1.16632518299145e-10,28962.77
1.1694108879746487e-10,28982.213
1.1724965929578474e-10,28885.69
1.175582297941046e-10,28839.314
1.1786680029242444e-10,28837.451
1.181753707907443e-10,28860.824
1.1848394128906417e-10,28908.064
1.1879251178738407e-10,28891.137
1.1910108228570392e-10,28777.535
1.1940965278402377e-10,28760.363
1.1971822328234364e-10,28776.797
1.200267937806635e-10,28829.45
1.2033536427898334e-10,28858.023
1.2064393477730322e-10,28777.625
1.209525052756231e-10,28738.281
1.2126107577394297e-10,28726.803
1.2156964627226282e-10,28730.295
1.2187821677058267e-10,28716.078
1.2218678726890254e-10,28713.8
1.224953577672224e-10,28618.34
1.2280392826554227e-10,28595.215
1.2311249876386214e-10,28585.832
1.2342106926218202e-10,28590.492
1.2372963976050187e-10,28587.371
1.2403821025882172e-10,28547.979
1.243467807571416e-10,28513.93
1.2465535125546147e-10,28513.477
1.2496392175378132e-10,28491.453
1.2527249225210117e-10,28498.125
1.2558106275042102e-10,28511.441
1.258896332487409e-10,28444.797
1.2619820374706074e-10,28444.7
1.2650677424538062e-10,28453.877
1.268153447437005e-10,28479.154
1.2712391524202037e-10,28477.527
1.2743248574034022e-10,28457.104
1.2774105623866007e-10,28417.22
1.2804962673697992e-10,28428.39
1.283581972352998e-10,28401.23
1.2866676773361967e-10,28401.541
1.2897533823193952e-10,28393.992
1.292839087302594e-10,28349.883
1.2959247922857927e-10,28319.979
1.2990104972689912e-10,28324.3
1.3020962022521897e-10,28339.287
1.3051819072353884e-10,28357.455
1.3082676122185872e-10,28377.541
1.311353317201786e-10,28346.371
1.3144390221849844e-10,28343.459
1.317524727168183e-10,28335.51
1.3206104321513817e-10,28326.178
1.3236961371345802e-10,28335.482
1.326781842117779e-10,28304.61
1.3298675471009774e-10,28256.527
1.3329532520841762e-10,28253.197
1.336038957067375e-10,28228.787
1.3391246620505734e-10,28232.125
1.3422103670337722e-10,28224.773
1.3452960720169707e-10,28217.246
1.3483817770001692e-10,28238.273
1.351467481983368e-10,28240.15
1.3545531869665664e-10,28221.305
1.3576388919497652e-10,28225.73
1.360724596932964e-10,28233.79
1.3638103019161622e-10,28241.248
1.3668960068993607e-10,28244.855
1.3699817118825597e-10,28236.648
1.3730674168657585e-10,28190.473
1.376153121848957e-10,28188.92
1.3792388268321555e-10,28174.082
1.3823245318153542e-10,28175.951
1.385410236798553e-10,28205.43
1.3884959417817515e-10,28205.342
1.3915816467649502e-10,28197.31
1.3946673517481487e-10,28193.945
1.3977530567313475e-10,28192.924
1.4008387617145462e-10,28205.846
1.4039244666977445e-10,28191.703
1.4070101716809432e-10,28181.422
1.410095876664142e-10,28141.867
1.4131815816473405e-10,28124.674
1.4162672866305395e-10,28112.998
1.4193529916137377e-10,28121.229
1.4224386965969365e-10,28129.18
1.4255244015801352e-10,28120.104
1.428610106563334e-10,28113.31
1.4316958115465322e-10,28115.326
1.4347815165297312e-10,28117.549
1.4378672215129297e-10,28105.516
1.4409529264961285e-10,28086.926
1.444038631479327e-10,28066.615
1.4471243364625255e-10,28042.814
1.4502100414457242e-10,28030.113
1.4532957464289227e-10,28037.547
1.4563814514121212e-10,28008.504
1.4594671563953202e-10,28000.139
1.4625528613785185e-10,27975.475
1.465638566361717e-10,27973.7
1.4687242713449157e-10,27976.998
1.4718099763281147e-10,27974.455
1.474895681311313e-10,27954.979
1.4779813862945117e-10,27933.986
1.4810670912777102e-10,27915.62
1.4841527962609092e-10,27906.7
1.4872385012441077e-10,27900.969
1.490324206227306e-10,27905.236
1.4934099112105047e-10,27888.451
1.4964956161937037e-10,27881.549
1.4995813211769025e-10,27865.488
1.5026670261601007e-10,27862.637
1.5057527311432992e-10,27864.344
1.5088384361264982e-10,27860.775
1.511924141109697e-10,27853.639
1.5150098460928957e-10,27847.54
1.518095551076094e-10,27820.887
1.5211812560592927e-10,27817.936
1.5242669610424915e-10,27829.514
1.52735266602569e-10,27816.422
1.5304383710088882e-10,27809.68
1.533524075992087e-10,27789.973
1.536609780975286e-10,27763.951
1.5396954859584847e-10,27745.115
1.5427811909416832e-10,27748.717
1.5458668959248817e-10,27740.928
1.5489526009080802e-10,27749.863
1.5520383058912792e-10,27725.51
1.5551240108744777e-10,27720.201
1.5582097158576765e-10,27732.879
1.561295420840875e-10,27727.799
1.5643811258240735e-10,27729.97
1.5674668308072722e-10,27748.195
1.570552535790471e-10,27745.885
1.5736382407736692e-10,27740.861
1.576723945756868e-10,27733.049
1.5798096507400665e-10,27728.383
1.5828953557232655e-10,27709.398
1.585981060706464e-10,27713.152
1.5890667656896622e-10,27727.37
1.5921524706728612e-10,27723.256
1.59523817565606e-10,27705.568
1.5983238806392588e-10,27687.117
1.601409585622457e-10,27687.908
1.6044952906056555e-10,27699.62
1.6075809955888542e-10,27687.625
1.610666700572053e-10,27692.285
1.6137524055552515e-10,27680.174
1.6168381105384497e-10,27692.61
1.619923815521649e-10,27757.385
1.6230095205048475e-10,27791.16
1.6260952254880463e-10,27807.37
1.6291809304712448e-10,27842.709
1.6322666354544435e-10,27835.93
1.6353523404376423e-10,27838.416
1.6384380454208408e-10,27844.082
1.6415237504040395e-10,27831.346
1.644609455387238e-10,27808.86
1.6476951603704365e-10,27805.38
1.6507808653536353e-10,27784.07
1.6538665703368338e-10,27768.346
1.6569522753200325e-10,27770.95
1.6600379803032313e-10,27763.426
1.6631236852864298e-10,27749.783
1.6662093902696285e-10,27763.143
1.669295095252827e-10,27733.814
1.6723808002360255e-10,27727.93
1.6754665052192243e-10,27738.742
1.6785522102024228e-10,27747.762
1.6816379151856215e-10,27747.28
1.6847236201688203e-10,27742.396
1.6878093251520185e-10,27715.715
1.690895030135217e-10,27719.773
1.693980735118416e-10,27720.736
1.6970664401016145e-10,27721.678
1.7001521450848133e-10,27729.352
1.7032378500680118e-10,27741.322
1.7063235550512105e-10,27708.463
1.7094092600344093e-10,27716.965
1.712494965017608e-10,27719.11
1.7155806700008065e-10,27716.293
1.718666374984005e-10,27723.244
1.7217520799672038e-10,27722.795
1.7248377849504025e-10,27692.262
1.7279234899336008e-10,27684.28
1.7310091949167995e-10,27683.605
1.7340948998999983e-10,27670.02
1.7371806048831968e-10,27654.914
1.7402663098663958e-10,27661.975
1.743352014849594e-10,27627.637
1.7464377198327928e-10,27640.104
1.7495234248159915e-10,27623.871
1.7526091297991903e-10,27620.588
1.7556948347823885e-10,27624.701
1.7587805397655875e-10,27636.3
1.761866244748786e-10,27604.234
1.7649519497319848e-10,27607.582
1.7680376547151833e-10,27614.89
1.7711233596983818e-10,27614.414
1.7742090646815805e-10,27619.896
1.777294769664779e-10,27628.355
1.7803804746479778e-10,27605.887
1.7834661796311765e-10,27612.521
1.7865518846143748e-10,27613.744
1.7896375895975733e-10,27603.057
1.7927232945807723e-10,27596.615
1.795808999563971e-10,27573.88
1.7988947045471693e-10,27557.135
1.801980409530368e-10,27518.773
1.8050661145135668e-10,27480.234
1.8081518194967655e-10,27445.986
1.811237524479964e-10,27421.85
1.8143232294631623e-10,27393.945
1.8174089344463613e-10,27391.514
1.8204946394295598e-10,27389.705
1.8235803444127588e-10,27395.367
1.826666049395957e-10,27412.61
1.8297517543791558e-10,27434.535
1.8328374593623548e-10,27472.316
1.8359231643455533e-10,27495.342
1.839008869328752e-10,27533.055
1.8420945743119503e-10,27528.123
1.845180279295149e-10,27550.312
1.8482659842783478e-10,27559.25
1.8513516892615463e-10,27587.023
1.8544373942447448e-10,27607.557
1.8575230992279433e-10,27623.582
1.860608804211142e-10,27610.34
1.863694509194341e-10,27605.38
1.8667802141775396e-10,27613.469
1.869865919160738e-10,27646.203
1.8729516241439365e-10,27660.969
1.8760373291271353e-10,27653.25
1.8791230341103338e-10,27636.537
1.8822087390935328e-10,27629.371
1.885294444076731e-10,27637.361
1.8883801490599295e-10,27638.191
1.8914658540431283e-10,27634.467
1.894551559026327e-10,27632.004
1.8976372640095256e-10,27606.738
1.9007229689927238e-10,27591.818
1.9038086739759228e-10,27585.418
1.9068943789591218e-10,27579.951
1.9099800839423203e-10,27567.691
1.9130657889255188e-10,27570.215
1.9161514939087176e-10,27571.312
1.9192371988919163e-10,27586.986
1.922322903875115e-10,27608.45
1.9254086088583133e-10,27617.877
1.9284943138415118e-10,27633.984
1.9315800188247106e-10,27635.365
1.9346657238079093e-10,27620.65
1.9377514287911078e-10,27618.902
1.9408371337743063e-10,27621.65
1.9439228387575053e-10,27616.924
1.9470085437407038e-10,27613.562
1.9500942487239026e-10,27631.375
1.953179953707101e-10,27625.658
1.9562656586903e-10,27627.094
1.9593513636734986e-10,27632.781
1.962437068656697e-10,27629.176
1.9655227736398958e-10,27641.814
1.9686084786230943e-10,27635.838
1.9716941836062928e-10,27623.105
1.9747798885894916e-10,27636.21
1.97786559357269e-10,27628.895
1.980951298555889e-10,27633.877
1.9840370035390876e-10,27653.139
1.987122708522286e-10,27658.611
1.9902084135054848e-10,27641.365
1.9932941184886836e-10,27641.734
1.9963798234718818e-10,27656.7
1.9994655284550806e-10,27662.447
2.002551233438279e-10,27655.955
2.0056369384214778e-10,27667.238
2.0087226434046766e-10,27662.955
2.0118083483878748e-10,27666.87
2.0148940533710733e-10,27678.16
2.0179797583542723e-10,27687.223
2.0210654633374708e-10,27685.998
2.0241511683206696e-10,27694.098
2.0272368733038678e-10,27694.295
2.0303225782870666e-10,27705.27
2.033408283270265e-10,27707.916
2.0364939882534643e-10,27715.97
2.0395796932366628e-10,27738.895
2.0426653982198616e-10,27765.625
2.04575110320306e-10,27777.795
2.0488368081862588e-10,27776.062
2.0519225131694573e-10,27766.922
2.0550082181526558e-10,27759.303
2.0580939231358546e-10,27755.508
2.061179628119053e-10,27737.455
2.064265333102252e-10,27723.936
2.0673510380854506e-10,27729.371
2.070436743068649e-10,27706.84
2.0735224480518478e-10,27708.51
2.0766081530350463e-10,27692.008
2.079693858018245e-10,27664.926
2.0827795630014436e-10,27655.559
2.085865267984642e-10,27647.639
2.0889509729678406e-10,27657.945
2.0920366779510393e-10,27654.594
2.0951223829342384e-10,27661.172
2.0982080879174363e-10,27663.77
2.1012937929006348e-10,27660.672
2.104379497883834e-10,27691.191
2.1074652028670326e-10,27727.453
2.1105509078502306e-10,27711.186
2.1136366128334296e-10,27719.385
2.1167223178166283e-10,27729.43
2.1198080227998274e-10,27738.53
2.1228937277830259e-10,27763.525
2.1259794327662243e-10,27763.584
2.129065137749423e-10,27752.748
2.1321508427326216e-10,27748.336
2.1352365477158206e-10,27756.816
2.1383222526990186e-10,27772.31
2.141407957682218e-10,27774.719
2.144493662665417e-10,27774.254
2.1475793676486154e-10,27751.598
2.1506650726318139e-10,27749.764
2.1537507776150124e-10,27754.51
2.156836482598211e-10,27763.617
2.1599221875814096e-10,27734.588
2.163007892564608e-10,27711.635
2.1660935975478066e-10,27689.986
2.1691793025310054e-10,27706.785
2.1722650075142039e-10,27714.11
2.1753507124974024e-10,27706.705
2.1784364174806014e-10,27714.135
2.1815221224637996e-10,27730.016
2.184607827446998e-10,27755.385
2.187693532430197e-10,27768.834
2.1907792374133956e-10,27781.488
2.1938649423965944e-10,27778.344
2.1969506473797929e-10,27799.672
2.2000363523629914e-10,27809.547
2.2031220573461904e-10,27788.799
2.206207762329389e-10,27792.137
2.209293467312587e-10,27798.553
2.212379172295786e-10,27779.684
2.2154648772789846e-10,27783.502
2.2185505822621834e-10,27786.844
2.2216362872453824e-10,27767.44
2.224721992228581e-10,27756.336
2.2278076972117794e-10,27762.773
2.230893402194978e-10,27762.453
2.2339791071781771e-10,27775.016
2.237064812161375e-10,27774.754
2.2401505171445736e-10,27780.81
2.243236222127773e-10,27788.908
2.2463219271109714e-10,27790.553
2.24940763209417e-10,27806.754
2.2524933370773684e-10,27830.787
2.2555790420605671e-10,27841.648
2.2586647470437656e-10,27844.246
2.261750452026964e-10,27826.71
2.2648361570101626e-10,27813.256
2.2679218619933614e-10,27811.367
2.2710075669765599e-10,27831.457
2.2740932719597584e-10,27843.0
2.2771789769429574e-10,27826.336
2.2802646819261556e-10,27831.13
2.2833503869093546e-10,27816.652
2.286436091892553e-10,27824.479
2.2895217968757516e-10,27819.02
2.2926075018589504e-10,27820.53
2.295693206842149e-10,27825.645
2.2987789118253474e-10,27815.629
2.301864616808546e-10,27820.672
2.3049503217917454e-10,27829.096
2.3080360267749436e-10,27843.195
2.3111217317581426e-10,27860.4
2.3142074367413411e-10,27882.94
2.31729314172454e-10,27896.357
2.3203788467077384e-10,27908.73
2.323464551690937e-10,27897.879
2.3265502566741354e-10,27896.453
2.329635961657334e-10,27898.623
2.3327216666405324e-10,27884.975
2.335807371623731e-10,27884.102
2.33889307660693e-10,27882.29
2.341978781590128e-10,27868.033
2.3450644865733274e-10,27864.29
2.348150191556526e-10,27856.82
2.351235896539724e-10,27854.488
2.354321601522923e-10,27862.166
2.3574073065061214e-10,27855.012
2.36049301148932e-10,27850.03
2.3635787164725194e-10,27861.25
2.3666644214557176e-10,27875.07
2.3697501264389164e-10,27884.918
2.372835831422115e-10,27891.994
2.375921536405314e-10,27897.443
2.379007241388512e-10,27894.137
2.3820929463717104e-10,27887.938
2.3851786513549097e-10,27887.15
2.3882643563381084e-10,27880.445
2.3913500613213066e-10,27873.469
2.3944357663045054e-10,27874.027
2.397521471287704e-10,27868.393
2.400607176270903e-10,27875.617
2.4036928812541017e-10,27869.152
2.4067785862372994e-10,27865.867
2.4098642912204987e-10,27875.814
2.4129499962036974e-10,27884.42
2.4160357011868957e-10,27867.31
2.4191214061700944e-10,27869.838
2.422207111153293e-10,27869.424
2.4252928161364914e-10,27863.984
2.42837852111969e-10,27877.371
2.4314642261028884e-10,27871.152
2.434549931086087e-10,27869.559
2.437635636069286e-10,27867.47
2.440721341052484e-10,27880.426
2.443807046035684e-10,27888.016
2.446892751018882e-10,27898.523
2.4499784560020804e-10,27902.914
2.4530641609852797e-10,27899.658
2.456149865968478e-10,27889.822
2.459235570951676e-10,27902.332
2.4623212759348754e-10,27901.588
2.4654069809180737e-10,27898.85
2.468492685901273e-10,27884.791
2.471578390884471e-10,27884.564
2.47466409586767e-10,27875.95
2.4777498008508687e-10,27865.562
2.480835505834067e-10,27869.674
2.4839212108172657e-10,27873.504
2.4870069158004644e-10,27863.625
2.4900926207836627e-10,27866.66
2.4931783257668614e-10,27875.832
2.49626403075006e-10,27884.553
2.4993497357332584e-10,27889.885
2.5024354407164577e-10,27906.75
2.505521145699656e-10,27910.996
2.508606850682854e-10,27932.436
2.5116925556660534e-10,27941.936
2.5147782606492517e-10,27952.95
2.5178639656324504e-10,27951.682
2.5209496706156487e-10,27962.176
2.5240353755988474e-10,27975.135
2.5271210805820467e-10,27988.266
2.530206785565245e-10,27993.08
2.5332924905484437e-10,27984.883
2.5363781955316424e-10,27964.172
2.5394639005148407e-10,27986.123
2.54254960549804e-10,27988.83
2.545635310481238e-10,27991.982
2.5487210154644374e-10,28003.191
2.551806720447636e-10,28008.883
2.5548924254308344e-10,28014.57
2.557978130414033e-10,28048.781
2.561063835397232e-10,28056.354
2.56414954038043e-10,28060.775
2.567235245363629e-10,28087.273
2.570320950346827e-10,28104.53
2.5734066553300264e-10,28087.164
2.5764923603132247e-10,28068.523
2.579578065296423e-10,28043.932
2.5826637702796217e-10,28039.395
2.585749475262821e-10,28046.705
2.588835180246019e-10,28064.799
2.5919208852292174e-10,28042.623
2.595006590212416e-10,28038.258
2.598092295195615e-10,28049.885
2.6011780001788137e-10,28056.748
2.604263705162012e-10,28060.354
2.607349410145211e-10,28069.592
2.61043511512841e-10,28051.414
2.613520820111608e-10,28030.896
2.6166065250948075e-10,28029.848
2.619692230078005e-10,28033.436
2.622777935061204e-10,28019.54
2.625863640044403e-10,28026.293
2.6289493450276014e-10,28016.723
2.6320350500107997e-10,28014.516
2.635120754993999e-10,28016.111
2.638206459977197e-10,28020.68
2.641292164960396e-10,28034.344
2.6443778699435947e-10,28031.043
2.647463574926793e-10,28048.65
2.6505492799099917e-10,28035.586
2.65363498489319e-10,28030.143
2.6567206898763887e-10,28031.4
2.659806394859588e-10,28032.72
2.6628920998427857e-10,28035.332
2.665977804825985e-10,28041.32
2.669063509809183e-10,28017.246
2.6721492147923814e-10,28019.076
2.6752349197755807e-10,28024.174
2.678320624758779e-10,28036.592
2.6814063297419777e-10,28036.809
2.6844920347251764e-10,28035.756
2.687577739708375e-10,28031.168
2.6906634446915745e-10,28036.766
2.6937491496747727e-10,28043.941
2.696834854657971e-10,28034.73
2.6999205596411697e-10,28034.834
2.703006264624368e-10,28034.867
2.706091969607567e-10,28033.277
2.709177674590766e-10,28045.203
2.712263379573964e-10,28039.182
2.7153490845571635e-10,28044.412
2.7184347895403617e-10,28050.762
2.721520494523561e-10,28049.295
2.724606199506759e-10,28055.76
2.7276919044899575e-10,28056.4
2.730777609473156e-10,28036.049
2.733863314456355e-10,28041.719
2.7369490194395537e-10,28046.066
2.740034724422752e-10,28055.5
2.7431204294059507e-10,28074.943
2.7462061343891495e-10,28078.908
2.7492918393723477e-10,28067.898
2.752377544355546e-10,28067.191
2.755463249338745e-10,28086.488
2.7585489543219435e-10,28098.648
2.761634659305142e-10,28103.168
2.764720364288341e-10,28114.082
2.7678060692715397e-10,28096.023
2.7708917742547385e-10,28087.734
2.773977479237937e-10,28099.059
2.777063184221136e-10,28100.07
2.780148889204334e-10,28104.143
